model,model_id,knowledge_level,n_headlines,accuracy,macro_f1,accuracy_ci_lower,accuracy_ci_upper,macro_f1_ci_lower,macro_f1_ci_upper,parse_failures_sample,parse_failures_full
FinBERT,ProsusAI/finbert,none,300,0.5966666666666667,0.6005190227923246,0.5366666666666666,0.65,0.5397825980792421,0.6539525192646916,0,0
DK-CoT (none),Qwen/Qwen2.5-3B-Instruct,none,300,0.7266666666666667,0.7202639174464438,0.6766666666666666,0.7734166666666662,0.6694497842922401,0.7684835621994863,3,15
DK-CoT (sector),Qwen/Qwen2.5-3B-Instruct,sector,300,0.7433333333333333,0.7351441575773231,0.6965833333333333,0.7933333333333333,0.6819297814643047,0.7829331611668799,2,20
DK-CoT (firm),Qwen/Qwen2.5-3B-Instruct,firm,300,0.7533333333333333,0.754298347494753,0.7033333333333334,0.8,0.7022595840100735,0.8001179815666211,2,17
